wName2,wTrueRank2,wEstRank2,wTrueBin2,wEstBin2
1,1,492,1,1
2,2,65,1,1
3,3,37,1,1
5,4,868,1,2
6,5,60,1,1
7,6,830,1,2
10,7,61,1,1
12,8,330,1,1
15,9,208,1,1
16,10,298,1,1
17,11,351,1,1
19,12,288,1,1
21,13,847,1,2
23,14,812,1,2
24,15,120,1,1
27,16,56,1,1
28,17,504,1,1
29,18,568,1,1
30,19,74,1,1
32,20,104,1,1
34,21,640,1,2
42,22,184,1,1
43,23,185,1,1
44,24,163,1,1
45,25,404,1,1
46,26,865,1,2
47,27,489,1,1
48,28,93,1,1
52,29,469,1,1
53,30,223,1,1
56,31,193,1,1
58,32,238,1,1
59,33,100,1,1
60,34,395,1,1
61,35,869,1,2
62,36,363,1,1
63,37,239,1,1
65,38,181,1,1
66,39,563,1,1
67,40,746,1,2
70,41,117,1,1
74,42,870,1,2
76,43,143,1,1
82,44,534,1,1
83,45,862,1,2
85,46,32,1,1
87,47,199,1,1
88,48,470,1,1
89,49,289,1,1
92,50,857,1,2
96,51,831,1,2
100,52,6,1,1
103,53,113,1,1
104,54,449,1,1
105,55,132,1,1
106,56,180,1,1
107,57,259,1,1
108,58,820,1,2
109,59,380,1,1
110,60,123,1,1
112,61,314,1,1
114,62,75,1,1
115,63,407,1,1
117,64,437,1,1
118,65,57,1,1
119,66,832,1,2
121,67,596,1,1
122,68,276,1,1
123,69,541,1,1
127,70,112,1,1
129,71,333,1,1
130,72,53,1,1
131,73,418,1,1
132,74,625,1,2
133,75,423,1,1
134,76,12,1,1
135,77,233,1,1
137,78,419,1,1
140,79,871,1,2
141,80,848,1,2
147,81,291,1,1
149,82,216,1,1
152,83,866,1,2
153,84,372,1,1
154,85,114,1,1
155,86,344,1,1
156,87,158,1,1
157,88,174,1,1
159,89,650,1,2
160,90,471,1,1
163,91,279,1,1
164,92,7,1,1
166,93,277,1,1
167,94,319,1,1
168,95,872,1,2
171,96,535,1,1
172,97,518,1,1
173,98,892,1,2
174,99,34,1,1
177,100,345,1,1
182,101,652,1,2
183,102,179,1,1
185,103,833,1,2
186,104,321,1,1
187,105,813,1,2
188,106,498,1,1
189,107,134,1,1
191,108,200,1,1
192,109,519,1,1
194,110,873,1,2
195,111,814,1,2
196,112,9,1,1
199,113,634,1,2
200,114,322,1,1
201,115,19,1,1
202,116,456,1,1
204,117,304,1,1
205,118,99,1,1
206,119,466,1,1
207,120,98,1,1
208,121,739,1,2
211,122,849,1,2
212,123,196,1,1
213,124,48,1,1
214,125,597,1,1
216,126,495,1,1
217,127,191,1,1
220,128,561,1,1
222,129,536,1,1
223,130,387,1,1
224,131,874,1,2
225,132,680,1,2
226,133,472,1,1
227,134,658,1,2
231,135,649,1,2
233,136,821,1,2
234,137,282,1,1
235,138,893,1,2
238,139,632,1,2
239,140,28,1,1
240,141,875,1,2
243,142,275,1,1
246,143,62,1,1
247,144,516,1,1
250,145,728,1,2
251,146,313,1,1
252,147,617,1,2
253,148,394,1,1
255,149,659,1,2
258,150,323,1,1
259,151,109,1,1
263,152,269,1,1
267,153,290,1,1
270,154,415,1,1
272,155,748,1,2
273,156,747,1,2
274,157,890,1,2
276,158,300,1,1
277,159,876,1,2
281,160,537,1,1
283,161,64,1,1
284,162,38,1,1
285,163,219,1,1
286,164,877,1,2
287,165,80,1,1
288,166,591,1,1
289,167,543,1,1
290,168,131,1,1
291,169,452,1,1
292,170,324,1,1
293,171,108,1,1
295,172,365,1,1
297,173,896,1,2
298,174,592,1,1
299,175,147,1,1
302,176,303,1,1
304,177,815,1,2
305,178,311,1,1
306,179,310,1,1
307,180,146,1,1
313,181,564,1,1
315,182,834,1,2
316,183,127,1,1
317,184,637,1,2
319,185,396,1,1
322,186,72,1,1
324,187,81,1,1
326,188,287,1,1
328,189,169,1,1
329,190,532,1,1
330,191,251,1,1
332,192,383,1,1
333,193,3,1,1
334,194,860,1,2
336,195,569,1,1
337,196,272,1,1
339,197,835,1,2
341,198,244,1,1
344,199,460,1,1
346,200,886,1,2
350,201,207,1,1
351,202,891,1,2
353,203,381,1,1
354,204,271,1,1
355,205,140,1,1
357,206,16,1,1
358,207,426,1,1
359,208,557,1,1
361,209,494,1,1
363,210,660,1,2
364,211,201,1,1
368,212,354,1,1
369,213,69,1,1
372,214,1,1,1
374,215,55,1,1
375,216,439,1,1
376,217,50,1,1
377,218,138,1,1
380,219,836,1,2
381,220,301,1,1
382,221,228,1,1
